horodatage,id_session,nom_session,date_session,jour_semaine,heure,coach,lieu,capacite,places_restantes,places_reservees,taux_remplissage_pct,liste_attente_pleine
2026-07-21 15:04:04,137680453,Core & Tone 🤎 Reformer,2026-08-12 19:00:00,Mercredi,19:00,Léa Aveline,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,137680505,Fondation 1 🤎 Reformer,2026-08-12 20:00:00,Mercredi,20:00,Léa Aveline,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,137680562,Fondation 2 🤎 Reformer,2026-08-13 09:15:00,Jeudi,09:15,Eva Bernard,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,137680726,Core & Tone 🤎 Reformer,2026-08-13 10:15:00,Jeudi,10:15,Eva Bernard,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,137680671,Soft & Stretch 🤎 Reformer,2026-08-13 11:15:00,Jeudi,11:15,Eva Bernard,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,137680787,Fondation 1 🤎 Reformer,2026-08-13 12:15:00,Jeudi,12:15,Eva Bernard,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,138403743,Flow Trio ⭐️ Pilates Mat,2026-08-13 12:15:00,Jeudi,12:15,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,138403746,Dynamic Fit ⭐️ Pilates Mat,2026-08-13 13:15:00,Jeudi,13:15,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137680844,Dynamic Fit 🤎 Reformer,2026-08-13 13:30:00,Jeudi,13:30,Eva Bernard,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,138403754,Fondation 2 ⭐️ Pilates Mat ,2026-08-13 14:30:00,Jeudi,14:30,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,138403825,Fondation 1 ⭐️ Pilates Mat,2026-08-13 15:30:00,Jeudi,15:30,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137681573,Fondation 2 🤎 Reformer,2026-08-14 08:00:00,Vendredi,08:00,Léa Aveline,Reformer,8,8,0,0.0,False
